Wall time,Step,Value
1528103139.8896625,1,0.737500011920929
1528103143.8536897,2,0.5249999761581421
1528103147.7667665,3,0.5375000238418579
1528103151.7257102,4,0.5249999761581421
1528103155.6975684,5,0.42500001192092896
1528103159.6364195,6,0.6000000238418579
1528103163.5580156,7,0.4749999940395355
1528103167.4798021,8,0.5
1528103171.402548,9,0.5375000238418579
1528103175.330687,10,0.625
1528103180.1484234,11,0.08749999850988388
1528103184.0727787,12,0.125
1528103188.0140321,13,0.13750000298023224
1528103191.9486177,14,0.22499999403953552
1528103195.8855848,15,0.1875
1528103199.827978,16,0.32499998807907104
1528103203.778733,17,0.30000001192092896
1528103207.7248476,18,0.3375000059604645
1528103211.6702256,19,0.4000000059604645
1528103215.621815,20,0.36250001192092896
1528103220.4573035,21,0.16249999403953552
1528103224.403235,22,0.21250000596046448
1528103228.355349,23,0.17499999701976776
1528103232.3265295,24,0.20000000298023224
1528103236.2855601,25,0.25
1528103240.234845,26,0.23749999701976776
1528103244.1904304,27,0.3499999940395355
1528103248.15368,28,0.26249998807907104
1528103252.1113012,29,0.3499999940395355
1528103256.068262,30,0.38749998807907104
1528103260.9246624,31,0.07500000298023224
1528103264.8948457,32,0.10000000149011612
1528103268.8397508,33,0.125
1528103272.7877665,34,0.13750000298023224
1528103276.7394211,35,0.17499999701976776
1528103280.6884048,36,0.26249998807907104
1528103284.6427305,37,0.23749999701976776
1528103288.6007302,38,0.2874999940395355
1528103292.542774,39,0.4124999940395355
1528103296.497779,40,0.4749999940395355
1528103301.3660567,41,0.15000000596046448
1528103305.3167524,42,0.11249999701976776
1528103309.2747316,43,0.1875
1528103313.2257988,44,0.22499999403953552
1528103317.1821182,45,0.21250000596046448
1528103321.1369956,46,0.26249998807907104
1528103325.0974078,47,0.26249998807907104
1528103329.0515683,48,0.38749998807907104
1528103333.0103016,49,0.42500001192092896
1528103336.9733624,50,0.44999998807907104
1528103341.8281815,51,0.125
1528103345.7825103,52,0.15000000596046448
1528103349.728768,53,0.21250000596046448
1528103353.6881955,54,0.15000000596046448
1528103357.641224,55,0.16249999403953552
1528103361.591012,56,0.20000000298023224
1528103365.542499,57,0.20000000298023224
1528103369.501866,58,0.23749999701976776
1528103373.455657,59,0.32499998807907104
1528103377.4157598,60,0.3125
1528103382.2738452,61,0.08749999850988388
1528103386.2372944,62,0.10000000149011612
