Model,M,Acc,Rank,Split
LSE,0.0,0.00885610720615654,0.0,2.0
RM,0.0,0.08199419082622024,3.0,2.0
TER,0.0,0.06994345617850649,3.0,2.0
nTER,0.0,0.08199419082622021,3.0,2.0
nTER,1.0,0.08199419082622021,3.0,2.0
nTER,2.0,0.07441143470743126,3.0,2.0
nTER,3.0,0.08199419082622021,3.0,2.0
nTER,4.0,0.08535462464773633,3.0,2.0
nTER,5.0,0.08199419082622021,3.0,2.0
nTER,6.0,0.08522294218692117,3.0,2.0
nTER,7.0,0.08199419082622021,3.0,2.0
nTER,8.0,0.0872325589200368,3.0,2.0
nTER,9.0,0.08199419082622021,3.0,2.0
