,id,median,max
0,S046_2_3_12,10.274866517381387,46.98701705554785
1,S079_2_2_9,18.59514742616075,46.385444084468325
2,S022_2_4_1,16.988313970495394,40.98279844319581
3,S076_2_3_10,21.761271033723347,52.02902548109858
4,S107_2_4_7,14.36058990912822,40.50903073306851
5,S102_2_2_7,19.20897883073266,43.760966619509446
6,S042_2_4_4,14.981953874934575,42.04640384427416
7,S080_1_2_9,21.154412933938445,44.28370387739258
8,S106_2_1_11,12.65303342357188,39.50420778435327
9,S054_2_4_3,22.12340270743082,41.18215531540356
10,S050_1_3_9,21.450729767990243,45.70814851370763
11,S063_2_1_8,16.040521785539458,44.214367719310424
12,S019_2_2_5,19.05749630824041,40.5050733385169
13,S094_2_1_5,8.265826867798001,43.47733898295152
14,S080_2_4_10,20.337029812976343,42.5787817575203
15,S070_2_4_5,14.0566200122944,41.682720742697605
16,S046_2_4_12,11.369772376978736,43.361572272315705
17,S089_2_3_12,18.4831131528993,45.6380866485331
18,S079_2_4_3,19.62831941494381,43.6458642221309
19,S076_1_2_11,12.245536287889877,40.00946027435337
20,S078_2_1_10,14.839712229336053,43.01029782177193
21,S029_1_4_4,15.596143855710615,39.3874811207203
22,S019_2_1_16,18.920356590704614,40.99944513468277
23,S026_1_4_14,17.357943806102327,49.7839829427254
24,S032_1_4_12,14.284376093952503,38.111922185663225
25,S042_1_2_8,8.018956223564153,39.52992429380546
26,S073_1_2_4,11.38630565405527,43.29657467052656
27,S061_1_4_8,24.189319689913354,45.94110308169077
28,S093_1_4_6,17.12657922210242,51.930346654513706
29,S019_1_1_3,17.121106283444693,43.01145578718328
30,S028_1_1_7,17.58474876737556,41.01458510938098
31,S054_1_1_12,21.723684138314944,43.31157466962692
32,S100_2_2_8,18.794794080303756,46.87492785328142
33,S073_2_4_4,13.879279787518724,44.69073074098778
34,S030_1_2_8,17.979016265407342,44.47893411659517
35,S033_2_1_2,21.485284256665715,41.47157975187647
36,S090_1_4_6,16.620951239254786,39.64640507767322
37,S039_1_4_2,22.871827692325777,48.517759465157866
38,S070_2_2_3,14.570375460270053,40.20180579274104
39,S042_2_4_7,15.545038638325718,41.10245166970501
40,S097_2_1_9,7.581381049293412,50.40263700083279
41,S094_2_1_11,8.265826867798001,43.47733898295152
42,S059_2_2_1,18.484791903429674,46.76763189092401
43,S037_2_2_4,13.190413768993631,50.1327495832802
44,S045_2_3_11,13.136815616185519,51.876529543860045
45,S077_2_1_6,14.430652626411133,42.96558596863906
46,S096_2_1_4,18.686599710808544,36.58562639449629
47,S103_1_2_11,19.19279722769392,47.35228941104529
48,S025_2_1_8,16.1817115330052,44.03580716699964
49,S037_1_4_8,20.27870234370637,46.910555371075134
50,S051_1_1_13,17.65488811021994,38.73970506809078
51,S070_1_3_8,12.27390338017874,40.8412696149761
52,S076_2_4_11,18.796205060211108,45.317639794222394
53,S080_1_1_6,22.43960715815429,42.193411435131324
54,S052_1_3_6,23.17374428435273,43.33058516175005
55,S036_2_2_8,13.523863223996585,44.32170439539607
56,S095_1_3_4,23.32965548314671,56.09858776934709
57,S090_1_4_2,17.35710570149452,39.23175495334324
58,S051_2_2_4,17.450576614018544,41.60811989963182
59,S075_2_2_5,12.77934321288502,44.71921843044788
60,S092_2_4_10,16.50989148765983,42.28184660015668
61,S028_2_3_1,22.989388102759705,47.99107169689483
62,S095_1_4_1,22.05863650784258,46.297362986408764
63,S022_2_3_1,19.360940918901413,43.52355273225685
64,S091_1_2_9,13.327219399159235,38.37433323837842
65,S031_1_2_1,13.902102223973474,45.224200935894466
66,S075_2_4_2,15.049830392917642,43.807562011456895
67,S105_2_3_12,8.164517499290824,51.65172320820092
68,S073_2_1_1,16.977485338760502,46.486109224748475
69,S024_1_1_2,14.972862736572626,40.7674066197051
70,S070_2_1_6,12.753586689845246,40.79355892251956
71,S048_2_2_11,17.558510168330244,42.28078159616796
72,S098_1_3_8,12.846492189077154,50.77279206373675
