,id,len,mean,std,id_person,id_location,id_direction,id_exp
2244,S025_1_1_2,10114.0,17.59914094884762,7.363671921218958,25,1,1,2
2245,S025_1_1_3,10114.0,17.59914094884762,7.363671921218958,25,1,1,3
2246,S025_1_1_4,11330.0,17.270032827533846,7.3748048634148,25,1,1,4
2247,S025_1_1_5,10124.0,17.25224562981765,7.402610235911437,25,1,1,5
2248,S025_1_1_6,11277.0,17.60882331162612,7.250153113317746,25,1,1,6
2249,S025_1_1_7,11283.0,17.405157863787565,7.417407602307725,25,1,1,7
2250,S025_1_1_8,11412.0,17.428218155917374,7.345443277751099,25,1,1,8
2251,S025_1_1_9,11105.0,17.01673437352908,7.481186270461899,25,1,1,9
2252,S025_1_2_1,11350.0,20.844613286529217,6.471757099367451,25,1,2,1
2253,S025_1_2_10,10295.0,19.524555397992305,6.173936792282144,25,1,2,10
2254,S025_1_2_11,10366.0,19.901206198112064,6.22967545516765,25,1,2,11
2255,S025_1_2_12,10719.0,22.481954530746716,5.372916677980126,25,1,2,12
2256,S025_1_2_2,11063.0,21.148131814140207,6.389905204935053,25,1,2,2
2257,S025_1_2_3,11299.0,20.617702213594505,6.559109414352689,25,1,2,3
2258,S025_1_2_4,10970.0,21.12077681612675,6.4592662814936475,25,1,2,4
2259,S025_1_2_5,10597.0,21.16955041792633,5.639214550748206,25,1,2,5
2260,S025_1_2_6,10461.0,21.52248005911886,5.614915127814698,25,1,2,6
2261,S025_1_2_7,10264.0,21.31809638888231,5.65054628335359,25,1,2,7
2262,S025_1_2_8,10264.0,21.31809638888231,5.65054628335359,25,1,2,8
2263,S025_1_2_9,10680.0,21.53771833219637,5.4854628011754265,25,1,2,9
2265,S025_1_3_10,10949.0,17.47061188380401,7.623462566262236,25,1,3,10
2266,S025_1_3_11,10071.0,17.25290939134819,7.481835412711192,25,1,3,11
2267,S025_1_3_12,11007.0,17.430752581598355,7.637317388784135,25,1,3,12
2268,S025_1_3_2,11058.0,17.009965113706446,7.7400985122554,25,1,3,2
2269,S025_1_3_3,11320.0,17.160720383731096,7.661462256914167,25,1,3,3
2270,S025_1_3_4,11320.0,17.160720383731096,7.661462256914167,25,1,3,4
