,Acc,Data,Model,Rank,Split,Time
0,0.004694835680751174,Data,LSE,0.0,0.0,0.0
1,0.11267605633802817,Data,RM,1.0,0.0,0.0010001659393310547
2,0.08450704225352113,Data,TER,1.0,0.0,0.0009996891021728516
3,0.004694835680751174,Data,LSE,0.0,0.0,0.0
4,0.07042253521126761,Data,RM,2.0,0.0,0.0029990673065185547
5,0.06572769953051644,Data,TER,2.0,0.0,0.0019998550415039062
6,0.004694835680751174,Data,LSE,0.0,0.0,0.0
7,0.09389671361502347,Data,RM,3.0,0.0,0.005003452301025391
8,0.07511737089201878,Data,TER,3.0,0.0,0.0059986114501953125
9,0.0,Data,LSE,0.0,1.0,0.0
10,0.08947368421052632,Data,RM,1.0,1.0,0.0009999275207519531
11,0.06842105263157895,Data,TER,1.0,1.0,0.0009999275207519531
12,0.0,Data,LSE,0.0,1.0,0.0
13,0.05263157894736842,Data,RM,2.0,1.0,0.0020089149475097656
14,0.031578947368421054,Data,TER,2.0,1.0,0.002007007598876953
15,0.0,Data,LSE,0.0,1.0,0.0
16,0.07894736842105263,Data,RM,3.0,1.0,0.00699925422668457
17,0.06315789473684211,Data,TER,3.0,1.0,0.007998466491699219
18,0.012738853503184714,Data,LSE,0.0,2.0,0.0
19,0.12101910828025478,Data,RM,1.0,2.0,0.0009992122650146484
20,0.08917197452229299,Data,TER,1.0,2.0,0.0009996891021728516
21,0.012738853503184714,Data,LSE,0.0,2.0,0.0
22,0.08280254777070063,Data,RM,2.0,2.0,0.002998828887939453
23,0.05732484076433121,Data,TER,2.0,2.0,0.0019981861114501953
24,0.012738853503184714,Data,LSE,0.0,2.0,0.0
25,0.08280254777070063,Data,RM,3.0,2.0,0.0029990673065185547
26,0.06369426751592357,Data,TER,3.0,2.0,0.003000020980834961
27,0.013333333333333334,Data,LSE,0.0,3.0,0.0
28,0.06666666666666667,Data,RM,1.0,3.0,0.0009999275207519531
29,0.05333333333333334,Data,TER,1.0,3.0,0.0009996891021728516
30,0.013333333333333334,Data,LSE,0.0,3.0,0.0
31,0.07333333333333333,Data,RM,2.0,3.0,0.002999544143676758
32,0.05333333333333334,Data,TER,2.0,3.0,0.0019996166229248047
33,0.013333333333333334,Data,LSE,0.0,3.0,0.0010004043579101562
34,0.08,Data,RM,3.0,3.0,0.003998279571533203
35,0.06666666666666667,Data,TER,3.0,3.0,0.002998828887939453
36,0.013513513513513514,Data,LSE,0.0,4.0,0.0
37,0.0945945945945946,Data,RM,1.0,4.0,0.0010001659393310547
38,0.060810810810810814,Data,TER,1.0,4.0,0.00099945068359375
39,0.013513513513513514,Data,LSE,0.0,4.0,0.0
40,0.0945945945945946,Data,RM,2.0,4.0,0.0009996891021728516
41,0.07432432432432433,Data,TER,2.0,4.0,0.00099945068359375
42,0.013513513513513514,Data,LSE,0.0,4.0,0.0
43,0.07432432432432433,Data,RM,3.0,4.0,0.0029990673065185547
44,0.08108108108108109,Data,TER,3.0,4.0,0.0029997825622558594
