Model,Rank,Acc,Split,Time
LSE,0.0,0.008856107206156547,2.0,6.669362386067709e-05
RM,1.0,0.0968860220180141,2.0,0.0009998798370361329
RM,2.0,0.07475691797145292,2.0,0.0024012088775634765
RM,3.0,0.08199419082622021,2.0,0.004399824142456055
TER,1.0,0.07124884271030743,2.0,0.0009996891021728516
TER,2.0,0.05645782906418527,2.0,0.0018008232116699218
TER,3.0,0.06994345617850643,2.0,0.004599142074584961
