"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"1",0,3.1465,0,4.294,0,3.521,0,4.2957,0,3.5172,0,4.2975,197.2280981,11.8151422,198.1381598,11.9369627,198.6984042
"2",3.01277e-06,3.1465,3.01e-06,4.294,2.01e-06,3.5212,2.01e-06,4.2957,6.02555e-06,3.5175,6.02555e-06,4.2977,197.22809509,11.81514421,198.13815779,11.93696872555,198.69839817445
"3",0.00250462,3.2177,0.005010243,4.2912,0.005009239,3.5432,0.005005222,4.2937,0.005012252,3.5555,0.005012252,4.2945,197.223087857,11.820151439,198.133154578,11.941974952,198.693391948
"4",0.012509038,3.2847,0.090116092,4.2892,0.010014461,3.5485,0.08006849,4.2917,0.025029123,3.5652,0.085087772,4.2925,197.137982008,11.825156661,198.05809131,11.961991823,198.613316428
"5",0.022515466,3.325,0.235325781,4.2872,0.025033141,3.5527,0.255286414,4.2897,0.035038564,3.5702,0.215223548,4.2905,196.992772319,11.840175341,197.882873386,11.972001264,198.483180652
"6",0.027518679,3.3535,0.30041978,4.2865,0.035047602,3.5547,0.295336226,4.289,0.055059452,3.5737,0.415432434,4.2885,196.92767832,11.850189802,197.842823574,11.992022152,198.282971766
"7",0.037525106,3.3747,0.390549932,4.2852,0.050069294,3.5572,0.410502531,4.2877,0.085090785,3.5772,0.595620431,4.287,196.837548168,11.865211494,197.727657269,12.022053485,198.102783769
"8",0.047531534,3.3917,0.565803005,4.2832,0.065090986,3.5592,0.600777296,4.286,0.095101229,3.5792,0.635662208,4.2865,196.662295095,11.880233186,197.537382504,12.032063929,198.062741992
"9",0.052534747,3.4062,0.60586085,4.283,0.085119908,3.5612,0.63582791,4.2857,0.145153451,3.5825,0.875912871,4.2845,196.62223725,11.900262108,197.50233189,12.082116151,197.822491329
"10",0.062543183,3.4185,0.761085,4.2812,0.110156062,3.5632,0.846131598,4.2837,0.175184783,3.5845,1.096142645,4.2825,196.4670131,11.925298262,197.292028202,12.112147483,197.602261555
"11",0.072551619,3.4295,0.906294689,4.28,0.145206676,3.5655,0.901200088,4.2832,0.225237005,3.5865,1.196247088,4.2817,196.321803411,11.960348876,197.236959712,12.162199705,197.502157112
"12",0.077554832,3.439,0.966381457,4.2792,0.180257291,3.5677,1.061399333,4.2817,0.265278782,3.5885,1.306361975,4.2805,196.261716643,11.995399491,197.076760467,12.202241482,197.392042225
"13",0.08756126,3.4475,1.196714068,4.2772,0.230329597,3.5697,1.201601792,4.2805,0.345362336,3.5907,1.536602193,4.2785,196.031384032,12.045471797,196.936558008,12.282325036,197.161802007
"14",0.097567687,3.4555,1.21173576,4.2772,0.300430827,3.5715,1.296739174,4.2797,0.435456335,3.5927,1.816866514,4.2765,196.01636234,12.115573027,196.841420626,12.372419035,196.881537686
"15",0.102570901,3.4627,1.371967141,4.2752,0.305438057,3.5717,1.502035631,4.278,0.545571222,3.595,2.057093075,4.2745,195.856130959,12.120580257,196.636124169,12.482533922,196.641311125
"16",0.112577328,3.4697,1.51717683,4.274,0.380546517,3.5737,1.507042862,4.2777,0.595623443,3.5952,2.307354182,4.2725,195.71092127,12.195688717,196.631116938,12.532586143,196.391050018
"17",0.122585764,3.476,1.59228529,4.2732,0.48069113,3.5757,1.767418856,4.2757,0.725759219,3.5972,2.427479513,4.2715,195.63581281,12.29583333,196.370740944,12.662721919,196.270924687
"18",0.127590986,3.4822,1.817610669,4.2715,0.590850205,3.5777,1.802469471,4.2755,0.945988993,3.5992,2.527583956,4.2705,195.410487431,12.405992405,196.335690329,12.882951693,196.170820244
"19",0.13760143,3.4875,1.827625131,4.2712,0.600864666,3.5775,1.987737005,4.2737,1.206260545,3.6012,2.767834619,4.2685,195.400472969,12.416006866,196.150422795,13.143223245,195.930569581
"20",0.147611874,3.493,2.057957741,4.2692,0.711023741,3.5797,2.10290331,4.273,1.556626095,3.6035,3.028080059,4.2667,195.170140359,12.526165941,196.03525649,13.493588795,195.670324141
"21",0.157622319,3.498,2.123051739,4.2685,0.896291275,3.582,2.25812746,4.2717,1.816897646,3.605,3.04809894,4.2665,195.105046361,12.711433475,195.88003234,13.753860346,195.65030526
"22",0.162627541,3.5025,2.333355427,4.267,0.911312967,3.5822,2.40333715,4.2705,1.906991645,3.6055,3.29833494,4.2645,194.894742673,12.726455167,195.73482265,13.843954345,195.40006926
"23",0.172637985,3.5072,2.42849281,4.266,1.096580501,3.584,2.523510685,4.2697,2.307409416,3.6075,3.588608701,4.2622,194.79960529,12.911722701,195.614649115,14.244372116,195.109795499
"24",0.182648429,3.5112,2.553673576,4.265,1.216754037,3.5852,2.70877822,4.2682,2.417524303,3.6077,3.628650478,4.2622,194.674424524,13.031896237,195.42938158,14.354487003,195.069753722
"25",0.187653651,3.515,2.728926649,4.2635,1.301876958,3.586,2.748836065,4.2677,2.777900297,3.6095,3.818848919,4.2602,194.499171451,13.117019158,195.389323735,14.714862997,194.879555281
"26",0.197664096,3.5185,2.789013417,4.263,1.517187877,3.5877,2.994190367,4.2657,3.01815096,3.6102,4.089130915,4.2582,194.439084683,13.332330077,195.143969433,14.95511366,194.609273285
"27",0.20767454,3.5217,3.034367719,4.2612,1.527202338,3.588,3.01421929,4.2657,3.328474733,3.6115,4.229263075,4.2575,194.193730381,13.342344538,195.12394051,15.265437433,194.469141125
"28",0.212679762,3.525,3.03937495,4.261,1.777563871,3.59,3.264580823,4.2637,3.628788061,3.6127,4.369395236,4.2562,194.18872315,13.592706071,194.873578977,15.565750761,194.329008964
"29",0.222690206,3.528,3.284729252,4.259,1.827636177,3.59,3.314653129,4.2632,3.828996947,3.6135,4.629666787,4.2542,193.943368848,13.642778377,194.823506671,15.765959647,194.068737413
"30",0.232700651,3.5305,3.334801559,4.2587,2.047954326,3.592,3.499920664,4.2617,4.239425163,3.615,4.829855588,4.2527,193.893296541,13.863096526,194.638239136,16.176387863,193.868548612
"31",0.237705873,3.5332,3.555119708,4.257,2.133077248,3.5922,3.620094199,4.261,4.399592271,3.6155,4.929949988,4.252,193.672978392,13.948219448,194.518065601,16.336554971,193.768454212
"32",0.247716317,3.5355,3.640242629,4.2562,2.403467703,3.594,3.755289427,4.2597,4.850062264,3.6172,5.170200651,4.25,193.587855471,14.218609903,194.382870373,16.787024964,193.528203549
"33",0.257726761,3.5377,3.790459548,4.255,2.438518318,3.594,3.92553527,4.2585,4.890104041,3.6175,5.430472202,4.2482,193.437638552,14.253660518,194.21262453,16.827066741,193.267931998
"34",0.262731984,3.54,3.945683699,4.2537,2.743959388,3.5957,4.015665421,4.2577,5.450688921,3.619,5.450493091,4.248,193.282414401,14.559101588,194.122494379,17.387651621,193.247911109
"35",0.282752872,3.5435,4.035813851,4.253,2.75898108,3.596,4.23097634,4.2562,5.54078292,3.6195,5.730785531,4.246,193.192284249,14.57412328,193.90718346,17.47774562,192.967618669
"36",0.297768539,3.5467,4.251124769,4.2512,3.049400458,3.5975,4.281048646,4.2557,6.061326022,3.621,5.981046638,4.244,192.976973331,14.864542658,193.857111154,17.998288722,192.717357562
"37",0.317789427,3.5497,4.281168153,4.251,3.13953061,3.598,4.531410179,4.254,6.191461798,3.6215,6.031098859,4.2435,192.946929947,14.95467281,193.606749621,18.128424498,192.667305341
"38",0.332805094,3.5522,4.546551378,4.249,3.349834297,3.599,4.556446332,4.2537,6.661952679,3.6227,6.23128766,4.242,192.681546722,15.164976497,193.581713468,18.598915379,192.46711654
"39",0.34782076,3.5545,4.551558609,4.249,3.470007833,3.6,4.826836788,4.2515,6.842140676,3.6235,6.5415803,4.24,192.676539491,15.285150033,193.311323012,18.779103376,192.1568239
"40",0.367841649,3.5565,4.806927372,4.247,3.650268137,3.6005,4.831844019,4.2517,7.262579336,3.6247,6.641684743,4.2392,192.421170728,15.465410337,193.306315781,19.199542036,192.056719457
"41",0.392867759,3.559,4.856999679,4.2467,3.940687515,3.602,5.097227244,4.2495,7.502829999,3.6255,6.811862296,4.238,192.371098421,15.755829715,193.040932556,19.439792699,191.886541904
"42",0.41789387,3.5615,5.077317828,4.245,3.955709207,3.6017,5.137285089,4.2495,7.873216438,3.6265,7.072133848,4.236,192.150780272,15.770851407,193.000874711,19.810179138,191.626270352
"43",0.442919981,3.5635,5.162440749,4.2442,4.261150277,3.6032,5.367617699,4.2475,8.133487989,3.6275,7.2423114,4.235,192.065657351,16.076292477,192.770542101,20.070450689,191.4560928
"44",0.467951113,3.5655,5.312657669,4.243,4.411367197,3.604,5.442726159,4.2472,8.483853539,3.6282,7.322394955,4.234,191.915440431,16.226509397,192.695433641,20.420816239,191.376009245
"45",0.502994698,3.5675,5.467881819,4.242,4.561584117,3.6047,5.638008155,4.2455,8.774156423,3.6295,7.632718727,4.232,191.760216281,16.376726317,192.500151645,20.711119123,191.065685473
