"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"1",0,3.419648,0.003130171,4.33918,0,3.49525,0.001046112,4.340488,NA,NA,NA,NA,235.399535629,20.0029533,235.701033688,NA,NA
"2",0.000527075,3.441743,0.0403,4.337174,0.00104,3.507955,0.0335,4.338437,NA,NA,NA,NA,235.3623658,20.0039933,235.6685798,NA,NA
"3",0.00105415,3.449325,0.106751884,4.335143,0.002086295,3.511234,0.080812152,4.336409,NA,NA,NA,NA,235.295913916,20.005039595,235.621267648,NA,NA
"4",0.001581225,3.455677,0.180050062,4.333138,0.00417259,3.514308,0.147959467,4.334401,NA,NA,NA,NA,235.222615738,20.00712589,235.554120333,NA,NA
"5",0.002108301,3.461209,0.26019549,4.331127,0.007302032,3.516562,0.223606441,4.332397,NA,NA,NA,NA,235.14247031,20.010255332,235.478473359,NA,NA
"6",0.002635376,3.466126,0.314125734,4.329747,0.019819801,3.518577,0.305464706,4.33037,NA,NA,NA,NA,235.088540066,20.022773101,235.396615094,NA,NA
"7",0.003162451,3.470634,0.339754011,4.329112,0.028230177,3.520592,0.388369082,4.328359,NA,NA,NA,NA,235.062911789,20.031183477,235.313710718,NA,NA
"8",0.003689526,3.474732,0.422964399,4.327106,0.04283424,3.522675,0.474477177,4.326344,NA,NA,NA,NA,234.979701401,20.04578754,235.227602623,NA,NA
"9",0.004216601,3.478215,0.507805084,4.325106,0.065913877,3.524712,0.559473777,4.324326,NA,NA,NA,NA,234.894860716,20.068867177,235.142606023,NA,NA
"10",0.004743676,3.481698,0.593689159,4.323102,0.100402938,3.526763,0.62982481,4.322789,NA,NA,NA,NA,234.808976641,20.103356238,235.07225499,NA,NA
"11",0.005270752,3.484567,0.628186255,4.322393,0.154842193,3.528776,0.64976632,4.322313,NA,NA,NA,NA,234.774479545,20.157795493,235.05231348,NA,NA
"12",0.005797827,3.478096,0.683681584,4.321093,0.218734972,3.530789,0.736920526,4.320302,NA,NA,NA,NA,234.718984216,20.221688272,234.965159274,NA,NA
"13",0.008433202,3.482313,0.769043964,4.319093,0.311835878,3.532802,0.829305293,4.3183,NA,NA,NA,NA,234.633621836,20.314789178,234.872774507,NA,NA
"14",0.008960278,3.485295,0.857014821,4.31708,0.42703847,3.534808,0.919597836,4.316297,NA,NA,NA,NA,234.545650979,20.42999177,234.782481964,NA,NA
"15",0.009487353,3.48797,0.942311989,4.315198,0.569362895,3.536819,1.010871108,4.314293,NA,NA,NA,NA,234.460353811,20.572316195,234.691208692,NA,NA
"16",0.010014428,3.490441,0.947007246,4.315062,0.62797474,3.537501,1.108551817,4.312288,NA,NA,NA,NA,234.455658554,20.63092804,234.593527983,NA,NA
"17",0.010541503,3.492569,1.042868742,4.313042,0.744155282,3.538836,1.197732865,4.310261,NA,NA,NA,NA,234.359797058,20.747108582,234.504346935,NA,NA
"18",0.011068578,3.494652,1.134491465,4.311027,0.954545075,3.540854,1.259715002,4.309046,NA,NA,NA,NA,234.268174335,20.957498375,234.442364798,NA,NA
"19",0.012122729,3.49834,1.23028775,4.309025,1.207834305,3.542858,1.296459686,4.308237,NA,NA,NA,NA,234.17237805,21.210787605,234.405620114,NA,NA
"20",0.013176879,3.501334,1.256437723,4.308505,1.256014676,3.543234,1.396167236,4.306213,NA,NA,NA,NA,234.146228077,21.258967976,234.305912564,NA,NA
"21",0.014231029,3.503804,1.322432168,4.307017,1.502001875,3.544859,1.492736451,4.304191,NA,NA,NA,NA,234.080233632,21.504955175,234.209343349,NA,NA
"22",0.01528518,3.505978,1.423445405,4.305015,1.857845534,3.546868,1.59139789,4.302175,NA,NA,NA,NA,233.979220395,21.860798834,234.11068191,NA,NA
"23",0.016866405,3.508517,1.515068127,4.30301,1.884054613,3.54705,1.688032486,4.300171,NA,NA,NA,NA,233.887597673,21.887007913,234.014047314,NA,NA
