"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"290",11.4402562,0.4775,141.3085975,0.136,64.52156919,0.1346,269.6804168,0.1694,NA,NA,NA,NA,231.1042889,89.38388009,108.4755513,NA,NA
"291",11.49996406,0.4753,141.9156275,0.1362,65.01909737,0.1339,269.8595404,0.1695,NA,NA,NA,NA,230.4972589,89.88140827,108.2964277,NA,NA
"292",11.56962323,0.4727,142.5226574,0.1363,65.85488197,0.1326,270.8944767,0.1702,NA,NA,NA,NA,229.890229,90.71719287,107.2614914,NA,NA
"293",11.61937978,0.4705,143.1296873,0.1365,66.23300339,0.132,272.1085365,0.171,NA,NA,NA,NA,229.2831991,91.09531429,106.0474316,NA,NA
"294",11.68903896,0.468,143.7267659,0.1366,67.04901084,0.1306,272.7852256,0.1715,NA,NA,NA,NA,228.6861205,91.91132174,105.3707425,NA,NA
"295",11.77860075,0.465,144.3337959,0.1368,67.42716064,0.1301,273.3225964,0.1718,NA,NA,NA,NA,228.0790905,92.28947154,104.8333717,NA,NA
"296",11.84825992,0.4626,144.9308745,0.1369,68.28297333,0.1286,274.5167537,0.1727,NA,NA,NA,NA,227.4820119,93.14528423,103.6392144,NA,NA
"297",11.89801648,0.4604,145.5279531,0.1371,68.62129249,0.1281,275.6910083,0.1735,NA,NA,NA,NA,226.8849333,93.48360339,102.4649598,NA,NA
"298",11.96767565,0.458,146.1250318,0.1372,69.49694209,0.1266,275.7308135,0.1735,NA,NA,NA,NA,226.2878546,94.35925299,102.4251546,NA,NA
"299",12.02738351,0.4558,146.7320617,0.1373,69.83528664,0.1261,276.9448734,0.1744,NA,NA,NA,NA,225.6808247,94.69759754,101.2110947,NA,NA
"300",12.04728613,0.4553,147.3390916,0.1375,70.6512941,0.1246,278.1390307,0.1752,NA,NA,NA,NA,225.0737948,95.513605,100.0169374,NA,NA
"301",12.09704268,0.4535,147.9361703,0.1376,71.04934651,0.124,278.3778621,0.1755,NA,NA,NA,NA,224.4767161,95.91165741,99.778106,NA,NA
"302",12.16670186,0.4511,148.5332489,0.1377,71.88525659,0.1226,279.3331879,0.1763,NA,NA,NA,NA,223.8796375,96.74756749,98.8227802,NA,NA
"303",12.21645841,0.4491,149.0109118,0.1379,72.26340638,0.122,280.5273452,0.1772,NA,NA,NA,NA,223.4019746,97.12571728,97.6286229,NA,NA
"304",12.28611758,0.4468,149.1402982,0.1379,73.29826499,0.1206,280.905495,0.1775,NA,NA,NA,NA,223.2725882,98.16057589,97.2504731,NA,NA
"305",12.34582545,0.4447,149.7573721,0.138,73.45747401,0.1204,281.7215024,0.1782,NA,NA,NA,NA,222.6555143,98.31978491,96.4344657,NA,NA
"306",12.41548462,0.4425,150.3544507,0.1381,74.67153388,0.1189,282.9156597,0.1792,NA,NA,NA,NA,222.0584357,99.53384478,95.2403084,NA,NA
"307",12.48514379,0.4399,150.9515293,0.1382,74.95017057,0.1186,283.1743937,0.1795,NA,NA,NA,NA,221.4613571,99.81248147,94.9815744,NA,NA
"308",12.55480296,0.4377,151.548608,0.1383,75.88559375,0.1177,284.1098169,0.1803,NA,NA,NA,NA,220.8642784,100.74790465,94.0461512,NA,NA
"309",12.62446214,0.4354,152.1456866,0.1384,77.09965362,0.1166,285.2840715,0.1815,NA,NA,NA,NA,220.2671998,101.96196452,92.8718966,NA,NA
"310",12.64436476,0.4349,152.7427652,0.1385,78.31371349,0.1156,285.3238768,0.1815,NA,NA,NA,NA,219.6701212,103.17602439,92.8320913,NA,NA
"311",12.69412131,0.4329,153.3497952,0.1386,79.52777337,0.1147,286.518034,0.1828,NA,NA,NA,NA,219.0630912,104.39008427,91.6379341,NA,NA
"312",12.76378048,0.4307,153.9568251,0.1387,79.627279,0.1146,287.1151127,0.1835,NA,NA,NA,NA,218.4560613,104.4895899,91.0408554,NA,NA
"313",12.83343966,0.4286,154.5539037,0.1388,80.74174212,0.1139,287.7320939,0.1842,NA,NA,NA,NA,217.8589827,105.60405302,90.4238742,NA,NA
"314",12.90309883,0.4261,155.1509823,0.1389,81.95580199,0.1131,288.8068354,0.1855,NA,NA,NA,NA,217.2619041,106.81811289,89.3491327,NA,NA
"315",12.972758,0.424,155.7580123,0.139,82.67224257,0.1126,288.9262512,0.1856,NA,NA,NA,NA,216.6548741,107.53455347,89.2297169,NA,NA
"316",13.05236849,0.4216,156.3650422,0.1391,83.14983377,0.1124,290.140311,0.1872,NA,NA,NA,NA,216.0478442,108.01214467,88.0156571,NA,NA
"317",13.12203811,0.4194,156.9621208,0.1392,84.34381177,0.1117,290.3194346,0.1875,NA,NA,NA,NA,215.4507656,109.20612267,87.8365335,NA,NA
"318",13.18175494,0.4172,157.5591995,0.1393,85.5576894,0.1111,291.3344683,0.1889,NA,NA,NA,NA,214.8536869,110.4200003,86.8214998,NA,NA
"319",13.2414628,0.4156,158.1562781,0.1394,86.47307254,0.1106,291.7723259,0.1895,NA,NA,NA,NA,214.2566083,111.33538344,86.3836422,NA,NA
"320",13.25141411,0.4151,158.763308,0.1394,86.7516674,0.1105,292.5485281,0.1906,NA,NA,NA,NA,213.6495784,111.6139783,85.60744,NA,NA
"321",13.3310246,0.4128,159.370338,0.1395,87.96563616,0.1101,293.0659963,0.1915,NA,NA,NA,NA,213.0425484,112.82794706,85.0899718,NA,NA
"322",13.40068377,0.4108,159.9674166,0.1397,89.15979341,0.1097,293.762588,0.1925,NA,NA,NA,NA,212.4454698,114.02210431,84.3933801,NA,NA
"323",13.47034294,0.4087,160.5744465,0.1397,90.35395066,0.1094,294.3795693,0.1935,NA,NA,NA,NA,211.8384399,115.21626156,83.7763988,NA,NA
"324",13.54000211,0.4064,161.1715251,0.1398,91.56801053,0.1091,294.9567453,0.1944,NA,NA,NA,NA,211.2413613,116.43032143,83.1992228,NA,NA
"325",13.6196126,0.4041,161.4800158,0.1399,92.76216778,0.1088,295.6135318,0.1955,NA,NA,NA,NA,210.9328706,117.62447868,82.5424363,NA,NA
"326",13.69922308,0.4016,161.7686038,0.1398,93.53831174,0.1086,296.1509025,0.1963,NA,NA,NA,NA,210.6442826,118.40062264,82.0050656,NA,NA
