"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"1",0,3.2737,0,0.0113,0,1.0909,0,0.0104,NA,NA,NA,NA,377.4079931,24.677092,380.9715658,NA,NA
"2",0,3.274,0,0.0113,0,1.0907,0,0.0104,NA,NA,NA,NA,377.4079931,24.677092,380.9715658,NA,NA
"3",0.010134188,2.8505,0.01520574,0.0266,0.020268376,1.0361,0.020268376,0.034,NA,NA,NA,NA,377.39278736,24.697360376,380.951297424,NA,NA
"4",0.030405535,2.4842,0.086155456,0.0287,0.040538237,0.9941,0.040538237,0.0363,NA,NA,NA,NA,377.321837644,24.717630237,380.931027563,NA,NA
"5",0.050676883,2.3747,0.20778354,0.0311,0.081080932,0.9658,0.121623627,0.0389,NA,NA,NA,NA,377.20020956,24.758172932,380.849942173,NA,NA
"6",0.060812556,2.3105,0.349682973,0.0332,0.121623627,0.9434,0.222980364,0.0416,NA,NA,NA,NA,377.058310127,24.798715627,380.748585436,NA,NA
"7",0.081086876,2.1775,0.521989426,0.0352,0.141894974,0.924,0.324337102,0.0436,NA,NA,NA,NA,376.886003674,24.818986974,380.647228698,NA,NA
"8",0.101361195,2.0547,0.592949544,0.0359,0.182437669,0.9066,0.466236534,0.046,NA,NA,NA,NA,376.815043556,24.859529669,380.505329266,NA,NA
"9",0.121635515,1.9315,0.724713303,0.0373,0.222980364,0.8906,0.628407314,0.0484,NA,NA,NA,NA,376.683279797,24.900072364,380.343158486,NA,NA
"10",0.141909834,1.8271,0.927397058,0.0394,0.243251712,0.8756,0.790578093,0.0505,NA,NA,NA,NA,376.480596042,24.920343712,380.180987707,NA,NA
"11",0.162184153,1.7006,1.130110533,0.0414,0.283794407,0.8617,0.973020221,0.0525,NA,NA,NA,NA,376.277882567,24.960886407,379.998545579,NA,NA
"12",0.192595632,1.6037,1.21120781,0.0421,0.324337102,0.8484,1.175733695,0.0547,NA,NA,NA,NA,376.19678529,25.001429102,379.795832105,NA,NA
"13",0.212869952,1.5291,1.353128046,0.0436,0.344608449,0.836,1.21627639,0.0551,NA,NA,NA,NA,376.054865054,25.021700449,379.75528941,NA,NA
"14",0.233144271,1.4868,1.576112868,0.0457,0.385151144,0.8243,1.37844717,0.0568,NA,NA,NA,NA,375.831880232,25.062243144,379.59311863,NA,NA
"15",0.25341859,1.4491,1.788930812,0.0477,0.425693839,0.8132,1.581160645,0.0589,NA,NA,NA,NA,375.619062288,25.102785839,379.390405155,NA,NA
"16",0.27369291,1.4155,1.829473507,0.048,0.466236534,0.8027,1.804145467,0.0609,NA,NA,NA,NA,375.578519593,25.143328534,379.167420333,NA,NA
"17",0.293967229,1.3716,2.001805221,0.0497,0.486507881,0.7928,2.006858942,0.0629,NA,NA,NA,NA,375.406187879,25.163599881,378.964706858,NA,NA
